"DR.Number","Date.Occurred","Time.Occurred","Hour","Weapon.Description","Status.Description","Address","Cross.Street","Longitude","Latitude"
121108513,"03/30/2012",705,7,"UNKNOWN FIREARM","Invest Cont","ISABEL","ELM                          ST",-118.2301,34.0996
121112073,"05/28/2012",2225,22,"HAND GUN","Invest Cont","MONTE VISTA","AVENUE 53",-118.1984,34.1098
121112756,"06/15/2012",1850,18,"HAND GUN","Invest Cont","100 N  AVENUE 51","",-118.2008,34.1056
121114687,"07/19/2012",1550,15,"UNKNOWN FIREARM","Invest Cont","700    ALDAMA                       TR","",-118.2009,34.1144
121114873,"07/23/2012",1255,12,"UNKNOWN FIREARM","Invest Cont","200 N  AVENUE 57","",-118.1936,34.1107
121114924,"07/24/2012",1800,18,"UNKNOWN FIREARM","Invest Cont","300    BRANCH                       ST","",-118.1861,34.1189
121114979,"07/25/2012",2047,20,"UNKNOWN WEAPON/OTHER WEAPON","Invest Cont","5200    ALDAMA                       ST","",-118.2041,34.1125
121115562,"08/06/2012",1230,12,"HAND GUN","Invest Cont","CYPRESS                      AV","FIGUEROA                     ST",-118.219,34.0864
121115803,"08/09/2012",1940,19,"HAND GUN","Invest Cont","6300    ARROYO GLEN                  ST","",-118.1845,34.1128
121115989,"08/14/2012",1930,19,"HAND GUN","Invest Cont","100 N  AVENUE 51","",-118.2008,34.1056
121116377,"08/21/2012",300,3,"UNKNOWN FIREARM","Invest Cont","4900    SANTA MONICA                 BL","",-118.2961,34.0909
121116488,"08/22/2012",645,6,"HAND GUN","Adult Other","6300 N  FIGUEROA                     ST","",-118.1843,34.1155
121116679,"08/25/2012",2015,20,"HAND GUN","Invest Cont","4000    PERLITA                      AV","",-118.2648,34.1255
121117367,"08/30/2012",1300,13,"UNKNOWN FIREARM","Invest Cont","2200    CAZADOR                      DR","",-118.2326,34.1056
121117869,"09/17/2012",1100,11,"HAND GUN","Adult Arrest","200 N  AVENUE 53","",-118.199,34.108
121120126,"10/28/2012",2220,22,"REVOLVER","Invest Cont","DOVER","GLENFELIZ",-118.2648,34.1225
121120434,"11/04/2012",415,4,"HAND GUN","Invest Cont","1300    WATERLOO                     ST","",-118.2658,34.0804
121120447,"11/04/2012",445,4,"HAND GUN","Invest Cont","1300    WATERLOO                     ST","",-118.2658,34.0804
121121198,"11/18/2012",1535,15,"HAND GUN","Invest Cont","AVENUE 46","TOLAND",-118.2159,34.1208
121121426,"11/24/2012",255,2,"HAND GUN","Invest Cont","1500    KILLARNEY                    AV","",-118.2268,34.1006
121121930,"12/04/2012",1650,16,"UNKNOWN FIREARM","Invest Cont","1600    GOLDEN GATE                  AV","",-118.2753,34.0904
121122228,"12/06/2012",800,8,"UNKNOWN FIREARM","Invest Cont","1600    REDESDALE                    AV","",-118.2724,34.0891
121122908,"12/23/2012",2205,22,"SHOTGUN","Invest Cont","600 N  AVENUE 50","",-118.2053,34.1094
121123116,"12/28/2012",1550,15,"UNKNOWN FIREARM","Invest Cont","4100    CHEVY CHASE                  DR","",-118.269,34.1334
121200578,"03/25/2012",1930,19,"HAND GUN","Invest Cont","6100 S  VERMONT                      AV","",-118.2915,33.9843
121200655,"05/22/2012",2235,22,"UNKNOWN FIREARM","Invest Cont","6300    ESTRELLA                     AV","",-118.2848,33.9819
121200719,"07/02/2012",2300,23,"UNKNOWN FIREARM","Invest Cont","300 W  84TH                         PL","",-118.2783,33.9624
121200742,"07/20/2012",2150,21,"UNKNOWN FIREARM","Invest Cont","7600 S  BROADWAY","",-118.2783,33.9708
121200892,"12/31/2012",200,2,"UNKNOWN FIREARM","Invest Cont","1800 W  73RD                         ST","",-118.309,33.9737
121204005,"01/01/2012",15,0,"SHOTGUN","Adult Arrest","600 W  81ST                         ST","",-118.2842,33.9656
121204101,"01/02/2012",2235,22,"RIFLE","Invest Cont","1300 W  61ST                         ST","",-118.298,33.9842
121204646,"01/10/2012",1855,18,"REVOLVER","Invest Cont","100 W  82ND                         ST","",-118.2754,33.9651
121205697,"01/25/2012",2245,22,"HAND GUN","Adult Arrest","3500 W  63RD                         ST","",-118.3338,33.9829
121205814,"01/27/2012",2115,21,"REVOLVER","Invest Cont","400 E  84TH                         PL","",-118.2673,33.962
121205851,"01/27/2012",1330,13,"HAND GUN","Invest Cont","59TH                         ST","RAYMOND                      AV",-118.298,33.9875
121206865,"02/13/2012",1130,11,"HAND GUN","Invest Cont","1100 W  65TH                         PL","",-118.2937,33.9799
121207056,"02/16/2012",330,3,"UNKNOWN FIREARM","Invest Cont","800 E  82ND                         ST","",-118.2608,33.9647
121207270,"02/18/2012",920,9,"UNKNOWN FIREARM","Invest Cont","9100 S  WESTERN                      AV","",-118.309,33.9545
121207444,"02/20/2012",955,9,"SEMI-AUTOMATIC PISTOL","Invest Cont","65TH                         PL","RAYMOND                      AV",-118.2981,33.9799
121207859,"02/27/2012",200,2,"SHOTGUN","Adult Other","HOOVER                       ST","53RD                         ST",-118.2871,33.9942
121208195,"03/01/2012",1935,19,"HAND GUN","Invest Cont","100 W  83RD                         ST","",-118.2739,33.9642
121208894,"03/11/2012",1413,14,"REVOLVER","Invest Cont","1600 W  64TH                         ST","",-118.3046,33.9814
121208895,"03/11/2012",1425,14,"REVOLVER","Invest Cont","1700 W  64TH                         ST","",-118.3068,33.9814
121208972,"03/12/2012",2150,21,"UNKNOWN FIREARM","Invest Cont","82ND                         ST","CENTRAL                      AV",-118.2564,33.9647
121209569,"03/21/2012",510,5,"OTHER FIREARM","Invest Cont","7400 S  NORMANDIE                    AV","",-118.3003,33.9728
121210008,"03/26/2012",1405,14,"HAND GUN","Invest Cont","10300 S  HOBART                       BL","",-118.3079,33.9432
121210259,"03/31/2012",223,2,"HAND GUN","Invest Cont","4500 S  VAN NESS                     AV","",-118.3171,34.0028
121210972,"04/11/2012",200,2,"HAND GUN","Invest Cont","71ST                         ST","WEST                         BL",-118.3352,33.9756
121212376,"05/01/2012",825,8,"HAND GUN","Invest Cont","5400 S  BUDLONG                      AV","",-118.2958,33.9932
121212455,"05/02/2012",2220,22,"UNKNOWN FIREARM","Invest Cont","2000 W  81ST                         ST","",-118.3134,33.9655
121213032,"05/11/2012",2100,21,"SEMI-AUTOMATIC PISTOL","Invest Cont","9500    DENKER                       AV","",-118.3046,33.9496
121213041,"05/10/2012",2100,21,"UNKNOWN FIREARM","Invest Cont","2700 W  FLORENCE                     AV","",-118.3226,33.9746
121213149,"05/13/2012",2315,23,"UNKNOWN FIREARM","Invest Cont","1200 W  51ST                         ST","",-118.2959,33.9969
121213501,"05/19/2012",1030,10,"HAND GUN","Invest Cont","84TH                         ST","RAYMOND                      AV",-118.2976,33.9627
121214569,"06/03/2012",2040,20,"UNKNOWN FIREARM","Invest Cont","6000    MADDEN                       AV","",-118.3255,33.9855
121215424,"06/16/2012",510,5,"UNKNOWN FIREARM","Invest Cont","6000    WEST                         BL","",-118.3352,33.9854
121215425,"06/16/2012",510,5,"UNKNOWN FIREARM","Invest Cont","6000    WEST                         BL","",-118.3352,33.9854
121215942,"06/22/2012",300,3,"UNKNOWN FIREARM","Invest Cont","900 W  74TH                         ST","",-118.2893,33.9727
121216076,"06/24/2012",2100,21,"HAND GUN","Invest Cont","6400    BRYNHURST                    AV","",-118.3338,33.9817
121216077,"06/24/2012",2025,20,"HAND GUN","Invest Cont","6400    BRYNHURST                    AV","",-118.3338,33.9817
121216232,"06/26/2012",2145,21,"REVOLVER","Invest Cont","7800 S  MAIN                         ST","",-118.2739,33.9689
121216338,"06/27/2012",2215,22,"HAND GUN","Invest Cont","7600 S  BROADWAY","",-118.2783,33.9708
121216599,"07/02/2012",1245,12,"REVOLVER","Invest Cont","7000 S  HOOVER                       ST","",-118.2871,33.9761
121216851,"07/03/2012",1800,18,"UNKNOWN FIREARM","Invest Cont","85TH                         ST","HALLDALE                     AV",-118.3025,33.961
121216964,"07/06/2012",2235,22,"HAND GUN","Invest Cont","9600 S  WESTERN                      AV","",-118.309,33.9487
121217530,"07/15/2012",415,4,"UNKNOWN FIREARM","Invest Cont","1300 W  57TH                         ST","",-118.298,33.991
121217971,"07/21/2012",2220,22,"SEMI-AUTOMATIC PISTOL","Invest Cont","1400 W  55TH                         ST","",-118.3002,33.9923
121218489,"07/28/2012",1500,15,"UNKNOWN FIREARM","Invest Cont","1400 W  61ST                         ST","",-118.3002,33.9842
